ASV,kingdom,phylum,class,order,family,genus,HexColor,ColorOrder
ASV_4739,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,Ilumatobacter,#D0D0D0,188
ASV_474,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,<not present>,#BEA89A,104
ASV_4740,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Kaistiaceae,Kaistia,#EE2C2C,146
ASV_4741,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#1CF8EC,125
ASV_4742,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Pseudochrobactrum,#EE2C2C,146
ASV_4743,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,<not present>,#5875DE,83
ASV_4744,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Ureibacillus,#5875DE,83
ASV_4745,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Tyzzerella,#BEA89A,104
ASV_4746,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group,#BEA89A,104
ASV_4747,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,#BEA89A,104
ASV_4748,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,<not present>,#BEA89A,104
ASV_4749,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Family XI,Tissierella,#BEA89A,104
ASV_475,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,GCA-900066575,#BEA89A,104
ASV_4750,Bacteria,Firmicutes,Clostridia,<not present>,<not present>,<not present>,#BEA89A,104
ASV_4751,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Gracilibacillus,#5875DE,83
ASV_4752,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,<not present>,#D0D0D0,188
ASV_4753,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Erysipelothrix,#FBA22E,62
ASV_4754,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium-Methylorubrum,#EE2C2C,146
ASV_4755,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Brevibacteriaceae,<not present>,#D0D0D0,188
ASV_4756,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,<not present>,#1CF8EC,125
ASV_4757,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,#1CF8EC,125
ASV_4758,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium sensu stricto 1,#BEA89A,104
ASV_4759,Bacteria,Firmicutes,Clostridia,<not present>,<not present>,<not present>,#BEA89A,104
ASV_476,Bacteria,Firmicutes,Bacilli,RF39,<not present>,<not present>,#5875DE,83
ASV_4760,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,<not present>,#BEA89A,104
ASV_4761,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,<not present>,#1CF8EC,125
ASV_4762,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,#5875DE,83
ASV_4763,Bacteria,Firmicutes,<not present>,<not present>,<not present>,<not present>,#D0D0D0,188
ASV_4764,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,[Eubacterium] xylanophilum group,#BEA89A,104
ASV_4765,Bacteria,<not present>,<not present>,<not present>,<not present>,<not present>,#D0D0D0,188
ASV_4766,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Plantibacter,#D0D0D0,188
ASV_4767,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Anoxybacillus,#5875DE,83
ASV_4768,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,<not present>,#1CF8EC,125
ASV_4769,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,<not present>,#BEA89A,104
ASV_477,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Marvinbryantia,#BEA89A,104
ASV_4770,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Faecalibacterium,#BEA89A,104
ASV_4771,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group,#BEA89A,104
ASV_4772,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Acetatifactor,#BEA89A,104
ASV_4773,Bacteria,Firmicutes,Clostridia,<not present>,<not present>,<not present>,#BEA89A,104
ASV_4774,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Family XI,<not present>,#BEA89A,104
ASV_4775,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,<not present>,#EE2C2C,146
ASV_4776,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,<not present>,#5875DE,83
ASV_4777,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,<not present>,#BEA89A,104
ASV_4778,Bacteria,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,<not present>,#D0D0D0,188
ASV_4779,Bacteria,Firmicutes,Clostridia,<not present>,<not present>,<not present>,#BEA89A,104
ASV_478,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,#5875DE,83
ASV_4780,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,HT002,#5875DE,83
ASV_4781,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Enterorhabdus,#D0D0D0,188
ASV_4782,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Family XI,Anaerococcus,#BEA89A,104
ASV_4783,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Kribbella,#D0D0D0,188
ASV_4784,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Terribacillus,#5875DE,83
ASV_4785,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,#E4DF23,40
ASV_4786,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,HT002,#5875DE,83
ASV_4787,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,#D0D0D0,188
ASV_4788,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,[Eubacterium] brachy group,#BEA89A,104
ASV_4789,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,#D0D0D0,188
ASV_479,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,#D0D0D0,188
ASV_4790,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,<not present>,<not present>,#1CF8EC,125
ASV_4791,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,<not present>,#1CF8EC,125
ASV_4792,Bacteria,Firmicutes,Clostridia,<not present>,<not present>,<not present>,#BEA89A,104
ASV_4793,Bacteria,Actinobacteriota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,#D0D0D0,188
ASV_4794,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,<not present>,<not present>,#FBA22E,62
ASV_4795,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,#D0D0D0,188
ASV_4796,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,#BEA89A,104
ASV_4797,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae ND3007 group,#BEA89A,104
ASV_4798,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Alkaliphilus,<not present>,#BEA89A,104
ASV_4799,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Erysipelatoclostridium,#FBA22E,62
ASV_48,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Colidextribacter,#BEA89A,104
ASV_480,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,<not present>,<not present>,#BEA89A,104
ASV_4800,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,<not present>,#D0D0D0,188
ASV_4801,Bacteria,Firmicutes,Bacilli,Bacillales,Marinococcaceae,<not present>,#5875DE,83
ASV_4802,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium sensu stricto 5,#BEA89A,104
ASV_4803,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Family XI,Peptoniphilus,#BEA89A,104
ASV_4804,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,<not present>,<not present>,#BEA89A,104
ASV_4805,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,<not present>,#5875DE,83
ASV_4806,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,<not present>,#5875DE,83
ASV_4807,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Intestinimonas,#BEA89A,104
ASV_4808,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Family XI,Tissierella,#BEA89A,104
ASV_4809,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Leucobacter,#D0D0D0,188
ASV_481,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Oscillospira,#BEA89A,104
ASV_4810,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Alkaliphilus,<not present>,#BEA89A,104
ASV_4811,Bacteria,Firmicutes,Clostridia,Eubacteriales,Garciellaceae,Garciella,#BEA89A,104
ASV_4812,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,<not present>,#D0D0D0,188
ASV_4813,Bacteria,Actinobacteriota,Actinobacteria,<not present>,<not present>,<not present>,#D0D0D0,188
ASV_4814,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Facklamia,#5875DE,83
ASV_4815,Bacteria,Firmicutes,Bacilli,Brevibacillales,Brevibacillaceae,Brevibacillus,#5875DE,83
ASV_4816,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,<not present>,#5875DE,83
ASV_4817,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Dialister,#D0D0D0,188
ASV_4818,Bacteria,Firmicutes,<not present>,<not present>,<not present>,<not present>,#D0D0D0,188
ASV_4819,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,<not present>,#EE2C2C,146
ASV_482,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,<not present>,#BEA89A,104
