SampleID	Acidobacteria	Actinobacteria	Bacteroidetes	Chlamydiae	Chloroflexi	Cyanobacteria	Deferribacteres	Deinococcus_Thermus	Dependentiae	Epsilonbacteraeota	Euryarchaeota	Firmicutes	Fusobacteria	Lentisphaerae	Patescibacteria	Planctomycetes	Proteobacteria	Spirochaetes	Synergistetes	Tenericutes	Verrucomicrobia	unclassified
1179W	0	245	0	0	0	0	0	0	0	0	0	78879	0	0	0	0	133	0	0	0	0	68
1179Y	0	2001	0	0	0	0	0	0	0	0	0	72567	0	0	0	0	53	0	0	0	0	18
1181B	0	1239	0	0	0	0	0	0	0	0	0	6310	0	0	0	0	271	0	0	0	0	0
1181C	0	2980	33	0	0	10	0	0	0	0	0	5959	3	0	2	0	316	0	0	0	0	0
1182C	0	449	41	0	0	0	0	0	0	0	0	11343	0	0	0	0	0	0	0	0	5227	0
1184E	0	256	0	0	0	0	0	0	0	0	0	13791	0	0	0	0	0	0	0	0	0	0
1185A	0	814	0	0	0	0	0	0	0	0	0	11410	0	0	0	0	0	0	0	0	0	0
1186A	0	2186	1113	0	0	0	0	0	0	0	0	110751	0	0	0	0	27	0	0	0	1409	18
1186B	0	1195	244	0	0	0	0	0	0	0	0	89482	14	0	3	0	30	0	0	0	159	121
1186C	0	12550	14546	0	0	0	0	0	0	0	0	101877	30	0	23	0	88	0	0	0	5	122
1186D	0	54081	132	0	0	0	0	0	0	0	0	52847	193	0	619	0	95	0	0	0	7	30
1186E	0	1141	4	3	0	6	0	0	0	0	0	68284	0	0	17	0	58	0	0	0	0	20
1186F	0	944	8	0	0	10	0	0	0	0	0	77493	0	0	247	0	109	0	0	0	0	16
1186G	0	1981	6	3	0	0	0	0	0	0	0	97863	0	0	11	0	188	3	0	0	0	0
1186H	0	2069	5	0	0	0	0	0	0	0	0	63771	0	0	0	0	91	0	0	0	0	0
1186I	0	3868	2	25	0	0	0	0	0	0	0	59277	0	0	11	0	184	0	0	0	0	0
