SampleID	x_notPresent_	Archaea	Bacteria
FMT.0059K	0	0	100
FMT.0059L	0	0	100
FMT.0059M	0	0	100
FMT.0059N	0	0	100
FMT.0059O	0	0	100
FMT.0059P	0	0	100
FMT.0059Q	0	0	100
FMT.0059R	0	0	100
FMT.0059S	0	0	100
FMT.0059T	0	0	100
FMT.0059U	0	0	100
FMT.0059V	0	0	100
FMT.0059X	0	0	100
FMT.0059Y	0	0	100
FMT.0061G	0.102177159474967	0	99.897822840525
FMT.0062O	0	0	100
FMT.0062R	0.0794961169204427	0	99.9205038830796
FMT.0063KK	0	0	100
FMT.0063LL	0	0	100
FMT.0063OO	0	0	100
FMT.0064F	0	0	100
FMT.0066K	0	0	100
FMT.0066L	0	0	100
FMT.0066M	0	0	100
FMT.0066T	0	0	100
FMT.0067E	0	0	100
FMT.0068Q	0.117622992738059	0	99.8823770072619
FMT.0068R	0	0	100
FMT.0068T	0	0	100
FMT.0068U	0	0	100
FMT.0068V	0	0	100
FMT.0068W	0	0	100
FMT.0070C	0	0	100
FMT.0074N	0	0	100
FMT.0074O	0	0	100
FMT.0077HH	0.0119113793377273	0.00397045977924244	99.984118160883
FMT.0077N	0.031427598669565	0.00785689966739125	99.960715501663
FMT.0077Q	0.0517311458448805	0.0258655729224402	99.9224032812327
FMT.0077R	0.0493705257960997	0.00987410515921995	99.9407553690447
FMT.0077S	0.0685940755042935	0	99.9314059244957
FMT.0079L	0.0414139920130158	0	99.958586007987
FMT.0079M	0.127121337316469	0	99.8728786626835
FMT.0080B	0	0	100
FMT.0080C	0	0	100
FMT.0080Q	0	0	100
FMT.0091B	0	0	100
FMT.0091D	0	0	100
FMT.0091E	0	0	100
FMT.0091H	0	0	100
FMT.0091J	0	0	100
FMT.0091KK	0	0	100
FMT.0091NN	0	0	100
FMT.0091O	0	0	100
FMT.0091Q	0.0277749722250278	0	99.972225027775
FMT.0092G	0	0	100
FMT.0092I	0	0	100
FMT.0094B	0.0387623412454112	0	99.9612376587546
FMT.0094G	0.0108078897595245	0.02431775195893	99.9648743582815
FMT.0094N	0.0487270069435985	0	99.9512729930564
FMT.0094P	0.120454716554995	0	99.879545283445
FMT.0094Q	0.0782312925170068	0	99.921768707483
FMT.0099G	0	0	100
FMT.0099J	0.0554585936353108	0	99.9445414063647
FMT.0101K	0.00274492580857672	0	99.9972550741914
FMT.0101L	0	0	100
FMT.0103Y	0	0	100
FMT.0105J	0	0.0332422250129275	99.9667577749871
FMT.0105K	0	0	100
FMT.0105L	0.0536291876853978	0.0402218907640483	99.9061489215506
FMT.0106G	0.0434748681819702	0	99.956525131818
FMT.0108K	0.0632241829369824	0	99.936775817063
FMT.0109G	0	0	100
FMT.0111A	0.0744511675445156	0	99.9255488324555
FMT.0112A	0.00760767790262172	0	99.9923923220974
FMT.0114O	0	0	100
FMT.0122B	0	0	100
FMT.0122C	0.00460861349862894	0	99.9953913865014
FMT.0122G	0.0242982105082614	0	99.9757017894917
FMT.0124N	0	0	100
FMT.0128C	0	0	100
FMT.0128D	0	0	100
FMT.0128E	0	0	100
FMT.0128F	0	0	100
FMT.0128G	0.0292344235337109	0	99.9707655764663
FMT.0128H	0	0	100
FMT.0128I	0.0199468085106383	0	99.9800531914894
FMT.0128J	0	0	100
FMT.0128N	0	0	100
FMT.0128S	0	0	100
FMT.0128U	0	0	100
FMT.0128V	0	0	100
FMT.0128W	0.132773420613845	0	99.8672265793862
FMT.0128X	0	0	100
FMT.0138I	0.148752134868602	0	99.8512478651314
FMT.0142A	0	0	100
FMT.0146B	0	0	100
FMT.0153H	0	0	100
FMT.0153I	0	0	100
FMT.0153L	0	0	100
FMT.0153N	0	0	100
FMT.0158AA	0.0443138352458252	0	99.9556861647542
FMT.0158BB	0	0	100
FMT.0158EE	0.0437679326946457	0	99.9562320673054
FMT.0158FF	0.0262432751607401	0	99.9737567248393
FMT.0158II	0	0	100
FMT.0158W	0.0150108292410954	0	99.9849891707589
FMT.0158X	0.00557957874180499	0	99.9944204212582
FMT.0158Y	0.0111169784052694	0	99.9888830215947
FMT.0158Z	0.0365107858946664	0	99.9634892141053
FMT.0160B	0	0	100
FMT.0160C	0	0	100
FMT.0167D	0	0	100
FMT.0173A	0	0.0818796724813101	99.9181203275187
FMT.0173E	0.0285709989323469	0	99.9714290010676
FMT.0173G	0.256622516556291	0	99.7433774834437
FMT.0173H	0.1713469776297	0	99.8286530223703
FMT.0173I	0.365692615040802	0	99.6343073849592
FMT.0173J	0.346577104473346	0	99.6534228955267
FMT.0173K	0.158142865668079	0	99.8418571343319
FMT.0173L	0.115576765341884	0	99.8844232346581
FMT.0173N	0.291430132661425	0	99.7085698673386
FMT.0173P	0	0.196290887391844	99.8037091126082
FMT.0173S	0	0.0185185185185185	99.9814814814815
FMT.0173T	0	0	100
FMT.0173U	0	0	100
FMT.0174J	0.00243001555209953	0	99.9975699844479
FMT.0177C	0	0	100
FMT.0178KK	0	0	100
FMT.0178LL	0	0	100
FMT.0178OO	0	0	100
FMT.0181L	0.154358884406245	0	99.8456411155938
FMT.0183A	0	0	100
FMT.0186N	0	0	100
FMT.0192B	1.20700293074194	0	98.7929970692581
FMT.0192C	0.133868808567604	0	99.8661311914324
FMT.0192D	0.446312505416414	0	99.5536874945836
FMT.0192E	1.0551227689577	0	98.9448772310423
FMT.0192H	0	0	100
FMT.0192I	0	0	100
FMT.0193C	0	0	100
FMT.0193D	0	0	100
FMT.0194A	0	0.662503968673934	99.3374960313261
FMT.0194B	0	0	100
FMT.0194C	0	0	100
FMT.0194D	0	0	100
FMT.0194E	0	0	100
FMT.0194F	0	0	100
FMT.0194G	0	0	100
FMT.0194H	0	0	100
FMT.0194I	0	0	100
FMT.0194J	0	0	100
FMT.0195E	0	0	100
FMT.0196A	0	0	100
FMT.0196C	0	0	100
FMT.0196E	0	0	100
FMT.0196F	0	0	100
FMT.0196G	0	0	100
FMT.0196H	0	0	100
FMT.0196I	0	0	100
FMT.0196J	0	0	100
FMT.0196Q	1.09643498332906	0	98.9035650166709
FMT.0199B	0	0	100
FMT.0201C	0	0	100
FMT.0201H	0	0	100
FMT.0204F	0	0	100
FMT.0205A	0	0	100
FMT.0206E	0	0	100
FMT.0206F	0	0	100
FMT.0206G	0	0	100
FMT.0206H	0	0	100
FMT.0206I	0	0.0174932213767165	99.9825067786233
FMT.0206J	0	0	100
FMT.0206K	0	0	100
FMT.0206L	0	0	100
FMT.0206M	0	0	100
FMT.0206N	0	0	100
FMT.0206O	0	0	100
FMT.0206P	0	0	100
FMT.0206Q	0	0	100
FMT.0207A	0	0.142800774130512	99.8571992258695
FMT.0207H	0	0	100
FMT.0207I	0	0	100
FMT.0207J	0	0	100
FMT.0207M	0	0	100
FMT.0213B	0	0	100
FMT.0215D	0	0	100
FMT.0217K	0	0	100
FMT.0218A	0	0	100
FMT.0218B	0	0	100
FMT.0223A	0.246770655617841	0	99.7532293443822
FMT.0223B	0	0	100
FMT.0224D	0.1028069410262	0	99.8971930589738
FMT.0224J	9.63184349952452	0	90.3681565004755
FMT.0224K	0.0201767483152415	0	99.9798232516848
FMT.0224L	0	0	100
FMT.0224M	21.3130190775721	0	78.6869809224279
FMT.0224P	0.0654048971916772	0	99.9345951028083
FMT.0224Q	0.103318342044488	0	99.8966816579555
FMT.0229O	0	0	100
FMT.0239J	0	0	100
FMT.0248G	0	0	100
FMT.0249B	0	0	100
1000B	0	0	100
1001A	0	0	100
1001B	0	0	100
1005	0	0	100
1008A	0	0	100
1008B	0	0	100
1010A	0	0	100
1010B	0	0.134228187919463	99.8657718120805
1010C	0	0	100
1010D	0	0.036374217954314	99.9636257820457
1011	0	0	100
1016A	0	0	100
101C	0	0	100
1020	0	0	100
1028	0	0	100
1033	0	0	100
1037	0	0	100
1037F	0	0	100
103B	0	0	100
1042H	0	0	100
1042I	0	0	100
1042J	0	0	100
1042K	0	0	100
1042L	0	0	100
1042M	0	0	100
1044A	0	0	100
1044B	0	0	100
1044C	0	0	100
1044D	0	0	100
1044E	0	0	100
1044F	0	0	100
1044G	0	0	100
1044H	0	0	100
1044I	0	0	100
1044K	0	0	100
1045D	0.0838397337300487	0	99.91616026627
1045E	0.0356263263061695	0	99.9643736736938
1045F	0.0383225665170262	0	99.961677433483
1045G	0	0	100
1045H	0.0313782283369539	0	99.9686217716631
1045M	0	0	100
1052	0	0	100
1053F	0	0	100
1058A	0.0494063009502479	0	99.9505936990497
1063A	0.0112416089418969	0	99.9887583910581
1063B	0.00933825147911233	0	99.9906617485209
1063E	0	0	100
1072	0	0	100
1072A	0.0849164987762034	0	99.9150835012238
1076	0	2.00601805416249	97.9939819458375
107E	0	0	100
1080R	0	0	100
1082C	1.24786081003993	0	98.7521391899601
1085A	0	0	100
1086	0	0	100
1091	0	0	100
1096D	0	0	100
1098F	0	0	100
1100A	0	0	100
1101E	0.0678499701460131	0	99.932150029854
1101J	0.0955109837631328	0	99.9044890162369
1101M	0.121334681496461	0	99.8786653185035
1102A	0	0	100
1102C	0.0210429895899093	0	99.9789570104101
1102G	0	0	100
1102H	0.0614800892339581	0	99.938519910766
1103	0	0	100
1103J	0.0766934748362491	0	99.9233065251638
1104	0	0	100
1105A	0	0	100
1106D	0	0	100
1106E	0	0	100
1107B	0	0	100
1107C	0	0	100
1107D	0	0	100
1107E	0	0	100
1107G	0	0	100
1107H	0	0	100
1107Q	0	0	100
1107R	3.398948727862	0	96.601051272138
1112D	0	0	100
1112E	0	0	100
1116B	0	0	100
1117B	0	0	100
1117C	0	0	100
1120D	0	0	100
1123H	0	0	100
1123J	0	0	100
1123U	0	0	100
1125A	0	0.171772115659891	99.8282278843401
1127B	0	0	100
1128A	0	0	100
1128B	0	0	100
1129A	0	0	100
1131A	0	0	100
1136G	0	0	100
1136H	0.0122681322995387	0	99.9877318677005
1137A	0	0	100
1141E	0.247120251903225	0	99.7528797480968
1141F	0	0	100
1145A	0	0	100
1147C	0	0	100
1148C	0	0	100
114B	0	0.634386328327292	99.3656136716727
114C	0	0.483304042179262	99.5166959578207
1151A	0	0	100
1151B	0	0	100
