SampleID	Acidobacteria	Actinobacteria	Bacteroidetes	Chlamydiae	Chloroflexi	Cyanobacteria	Deferribacteres	Deinococcus_Thermus	Dependentiae	Epsilonbacteraeota	Euryarchaeota	Firmicutes	Fusobacteria	Lentisphaerae	Patescibacteria	Planctomycetes	Proteobacteria	Spirochaetes	Synergistetes	Tenericutes	Verrucomicrobia	unclassified
1157E	0	5.67904407040987	1.18206347166902	0	0	0	0	0	0	0	0	93.1196196839265	0	0	0.00642425799820121	0	0.00642425799820121	0	0	0	0	0.00642425799820121
1157F	0	3.09475328442721	0.191068589439625	0	0.0111572898942847	0.00418398371035675	0	0	0	0	0	96.5935399291512	0.00278932247357117	0	0	0	0.053694457616245	0	0.00976262865749909	0	0.0244065716437477	0.0146439429862486
1157T	0	3.95005096839959	11.6207951070336	0.0764525993883792	0	0	0	0	0	0	0	76.8348623853211	0	0	0.0891946992864424	0	6.48572884811417	0.063710499490316	0.0382262996941896	0	0.840978593272171	0
1157Y	0	1.61866403222129	24.3939509081237	0	0	0.0493958507485371	0	0	0	0	0	65.4343035185044	0.0569952124021582	0	0	0	6.85462421156623	0	0	0.0455961699217266	1.35268637434455	0.193783722167338
1165C	0	12.4597207303974	0	0	0	0	0	0	0	0	0	87.5402792696026	0	0	0	0	0	0	0	0	0	0
116E	0	1.17695011973302	4.85751574557811	0	0	0	0	0	0	0	0	93.951816767326	0	0	0	0	0.00470309738155053	0	0	0	0.00901426998130519	0
1171CC	0	2.30246280143663	0.179579271421242	0	0	0	0	0	0	0	0	97.1523858388917	0	0	0	0	0.365572088250385	0	0	0	0	0
1171DD	0	1.29357738826725	0.966949097729772	0	0	0	0	0	0	0	0	97.4936938102322	0	0	0	0	0.245779703770778	0	0	0	0	0
1171EE	0	0.826481219218331	17.5505717728128	0	0	0	0	0	0	0	0	80.9761356190154	0	0	0	0	0.634128812699486	0	0	0	0.0126825762539897	0
1172D	0	1.16852898309852	4.09624383134317	0	0	0	0	0	0	0	0	93.5948247206525	0	0	0	0	0.0460252115881255	0	0	0.0357973867907643	1.05857986652689	0
1173M	0	1.01934825091108	0.0818647559021848	0	0	0	0	0	0	0	0	98.8380486259045	0	0	0	0	0.0369711800848577	0	0	0	0.0237671871974085	0
1174J	0	1.3257948353876	1.40790858003096	0	0	0.0042767575335084	0	0	0	0	0	42.0336837423339	0	0	0	0	55.0375926987195	0	0	0	0	0.190743385994474
1174K	0	0.398830098378091	1.35159088894797	0	0	0	0	0	0	0	0	17.1762829034831	0	0	0	0	80.3365682885757	0	0	0	0	0.736727820615085
1174L	0	1.47138172913294	11.5012659278629	0	0	0.00518822894616694	0	0	0	0	0	16.1571825841531	0	0	0	0	70.2838998879343	0	0	0	0	0.581081641970697
1174M	0	1.50313055397447	1.80863545018412	0	0	0	0	0	0	0	0	12.7975187891319	0	0	0	0	83.0520287616016	0	0	0	0	0.838686445107856
1176AA	0	6.43007827680009	4.31632709709654	0	0	0	0	0	0	0	0	81.579970021651	0	0	0	0	7.63060012213401	0	0	0	0	0.0430244823183257
1176F	0	16.5390061433143	9.62638391811887	0	0	0	0	0	0	0	0	71.8656275434547	1.81177598644234	0	0	0	0.11706860220089	0	0	0	0	0.0401378064688765
1176G	0	0.327944384968764	0.223598444296885	0	0	0	0	0	0	0	0	99.1760736113181	0	0	0	0	0.188364750044042	0	0	0	0.00813085251988671	0.075887956852276
1176J	0	10.4666826318625	2.96802969526432	0	0	0	0	0	0	0	0	85.7974615338562	0.564269891636233	0	0	0	0.139196551517691	0	0	0	0	0.0643596958630186
1176P	0	0.291982148011635	1.05357816906099	0	0	0.0632813020405444	0	0	0	0	0	98.3435841641317	0	0	0	0	0.182072518151742	0	0	0	0	0.0655016986033706
1176Q	0	0.571014230037161	0.239541116909013	0	0	0.0673304761041551	0	0	0	0	0	98.8618559904701	0	0	0	0	0.18774844298274	0	0	0	0.00388445054447048	0.0686252929523119
1176W	0	1.88734978157113	5.48015484352409	0	0	0.01399188470687	0	0	0	0	0	92.3060180650778	0	0	0	0	0.22387015530992	0	0	0	0	0.0886152698101768
1176X	0	0.732606958916218	0.58132617157621	0	0	0.0322958984209005	0	0	0	0	0	98.3342115551325	0	0	0	0	0.226071288946304	0	0	0	0	0.09348812700787
1176Y	0	2.56515325356499	0.439477134895919	0	0	0.0112686444845107	0	0	0	0	0	96.7699967218489	0	0	0	0	0.158785445009015	0	0	0	0	0.0553188001966891
1176Z	0	10.9682930900735	3.45545419731144	0	0	0	0	0	0	0	0	82.7158554188474	0.00589165251033494	0	0	0	2.82799320496077	0	0	0	0	0.0265124362965072
1179D	0	1.21489064885706	0.0428397245076178	0	0	0	0	0	0	0	0	54.3328536748794	0.00768918132188011	0	0	0	43.3801641090985	0	0	0	0	1.0215626613355
1179E	0	1.74599750742978	0.290000958680855	0	0	0	0	0	0	0	0	61.9235931358451	0.0227686703096539	0	0	0	35.5131339277155	0	0	0	0	0.504505800019174
1179L	0	3.88803064944695	0	0	0	0	0	0	0	0	0	95.8512018785145	0	0	0	0	0.165605882716431	0	0	0	0	0.0951615893221282
1179M	0	2.61843314909784	0	0	0	0	0	0	0	0	0	97.1655793449487	0	0	0	0	0.139561157693032	0	0	0	0	0.0764263482604699
1179N	0	1.19164481777402	0	0	0	0	0	0	0	0	0	98.5411981062912	0	0	0	0	0.159051654509984	0	0	0	0	0.108105421424755
1179O	0	0.876772381669977	0	0	0	0	0	0	0	0	0	98.8245770258237	0	0	0	0	0.191793958490308	0	0	0	0	0.106856634016028
1179P	0	0.475035710726506	0	0	0	0	0	0	0	0	0	99.2691758296515	0	0	0	0	0.164435438328406	0	0	0	0	0.0913530212935588
1179Q	0	0.960427313114712	0.00513597493644231	0	0	0	0	0	0	0	0	98.7956138774043	0	0	0	0	0.170771166636707	0	0	0	0	0.0680516679078606
1179R	0	1.55314416990493	0	0	0	0	0	0	0	0	0	98.1987926778601	0	0	0	0	0.160080162279737	0	0	0	0	0.0879829899552753
1179T	0	5.46911973497397	0	0	0	0.00887363937529579	0	0	0	0	0	94.2232607666824	0	0	0	0	0.241067203028869	0	0	0	0	0.0576786559394226
1179W	0	0.308855972265994	0	0	0	0	0	0	0	0	0	99.4377560668137	0	0	0	0	0.167664670658683	0	0	0	0	0.0857232902615821
1179Y	0	2.68090408499578	0	0	0	0	0	0	0	0	0	97.2239713822532	0	0	0	0	0.0710084540253755	0	0	0	0	0.0241160787255992
1181B	0	15.843989769821	0	0	0	0	0	0	0	0	0	80.690537084399	0	0	0	0	3.46547314578005	0	0	0	0	0
1181C	0	32.0326776308718	0.354724282489519	0	0	0.107492206815006	0	0	0	0	0	64.054606041062	0.0322476620445018	0	0.0214984413630012	0	3.39675373535419	0	0	0	0	0
1182C	0	2.63188745603751	0.240328253223916	0	0	0	0	0	0	0	0	66.4888628370457	0	0	0	0	0	0	0	0	30.6389214536928	0
1184E	0	1.82245319285257	0	0	0	0	0	0	0	0	0	98.1775468071474	0	0	0	0	0	0	0	0	0	0
1185A	0	6.65903141361257	0	0	0	0	0	0	0	0	0	93.3409685863874	0	0	0	0	0	0	0	0	0	0
1186A	0	1.89257514891259	0.96360299210417	0	0	0	0	0	0	0	0	95.8849909959828	0	0	0	0	0.0233758138246295	0	0	0	1.2198711732927	0.0155838758830863
