FMT.0016H,7.223675,1.1041832
1305B,-2.2502618,-0.6121638
FMT.0114Y,3.1599646,3.066708
794A,-0.9976571,0.7053511
FMT.0151A,-1.3292909,-0.93256116
FMT.0016I,7.467647,1.0002404
FMT.0231A,-0.58576804,-1.7547139
416A,-1.5946282,-0.7522714
592A,-3.3269238,0.40013552
157A,-3.454967,-1.3926673
FMT.0127A,5.138777,1.1693712
FMT.0070B,-3.0617595,-1.0811231
535A,-3.7852569,-0.8678579
FMT.0172A,-1.7963485,-0.8543721
434A,0.4967473,0.5794153
FMT.0045A,-2.5043924,-0.44214916
FMT.0044A,-1.2851573,0.24789052
245A,-3.2080321,0.0463297
FMT.0130A,-1.5915083,-1.6853238
1144A,-3.4829204,-0.70080864
858A,-3.6817076,-0.0395683
FMT.0118A,-3.9747007,0.78660107
1966A,-3.2345004,-0.6105091
603A,2.4157784,5.6235266
676A,-3.2062883,0.32768327
190A,-2.2607348,0.7979211
408A,-3.3915477,-0.31317437
FMT.0054A,-1.1103384,-1.3545698
256A,-1.9953563,0.75831664
104A,0.5448129,0.25487137
193A,-0.7741359,-1.231697
FMT.0139A,-1.7723048,0.49411672
FMT.0050A,-3.2141418,-1.5172923
1818A,-3.3791428,-1.2342415
FMT.0145A,0.5536483,-1.084385
FMT.0201A,-0.38971204,-1.2527145
FMT.0022A,-2.0142608,0.051307674
839A,-2.1012073,0.44803104
FMT.0064A,-1.0671296,-1.4433656
1261A,-4.2223163,-0.4749621
FMT.0219A,-3.0407755,-1.6115576
708A,-2.7807777,0.5745746
724A,-3.171503,0.13764496
461A,-2.405412,-0.1431061
230A,-2.1325803,-0.9770908
FMT.0068A,-0.24785683,-1.3155222
FMT.0008B,-3.4125116,-1.1319618
995A,-1.7759362,-1.0171999
233A,-3.5110407,-0.93400925
1207A,-4.2908254,1.2926722
1259C,-1.5468007,-1.6096609
476A,-2.537712,-0.2463814
FMT.0159A,-1.4255115,1.0659262
291A,-3.0183547,0.015811857
FMT.0179B,-3.3065503,-0.346678
136A,-2.7180257,-1.5361953
758A,-4.2448006,1.1016458
108A,0.83774686,1.6376168
FMT.0014A,-0.70789707,0.6931663
239A,-2.2533846,0.7037051
FMT.0005B,-3.6272347,-0.8115172
1004A,-2.5905328,-1.5346167
FMT.0012A,-3.1039314,-1.5085438
569A,-3.9339995,-0.160165
FMT.0248A,-2.1725934,0.008632803
FMT.0223A,-3.0529892,-1.6154726
492B,-2.8404324,-0.7682709
474A,-0.84584683,0.31297252
624A,0.65459925,3.9599602
537A,-2.4875457,0.7997637
FMT.0161B,-2.4928691,2.1044583
FMT.0097B,-2.8055227,1.0555722
733A,-2.0877764,0.56963545
826A,-3.9976392,-0.82726705
532A,-1.7929986,0.8426136
587A,-3.3287153,-1.12897
484A,3.1123478,4.696101
840A,-0.8903237,0.35265598
498B,-2.655996,0.11428109
FMT.0195B,-2.54373,-0.2524263
727B,-3.6274233,-1.109043
FMT.0111A,-4.714286,0.7905927
1428B,0.66844904,-2.3804116
297A,-4.5936866,0.44862032
627A,-2.6065164,6.753567
644A,-2.521253,1.0226187
519A,-3.5964785,0.4642253
167A,-2.443927,-1.0878664
402A,-4.6218505,1.418562
838A,-2.556351,0.5663858
483A,-0.8417142,-0.210106
722A,-1.4544519,0.0034726316
717A,-3.8402967,0.26091278
726A,-4.2268953,-0.09995947
FMT.0134B,-3.2310023,-0.8577446
744A,-3.0632017,0.32146707
FMT.0126B,-2.91566,0.19699477
791A,-3.6527014,-0.8087997
426A,-2.7253869,-0.9312485
555A,-2.218969,1.2920108
680A,-3.2208261,1.1043729
FMT.0158X,-0.5606129,7.0266147
757A,-3.7762372,0.8992819
1642B,-2.9092946,-1.6187669
FMT.0158B,-2.2766063,5.3025503
431A,-3.345321,0.48113054
FMT.0105B,-2.58576,1.3585532
572A,-2.4594183,0.17538577
1552A,-3.2307734,0.8669261
FMT.0104B,-4.075987,0.07417441
506A,-1.116926,0.21221481
593A,-4.5547385,0.51725346
1207B,-4.4828587,0.93308073
FMT.0138B,-3.5362508,-1.140712
422A,-3.0335686,-0.3525942
413A,-2.562415,-0.8979302
621A,-3.5863864,-1.0609814
482A,-2.714778,-0.92857563
704A,-2.8708167,0.20735124
FMT.0098A,-2.0406127,-0.20873992
743A,-2.560052,0.9266146
1196A,-3.3033154,-0.24469195
411A,-1.8635005,-0.73200333
616A,-3.090364,-1.0106696
153B,-2.3937314,-0.78780276
166B,-2.179186,0.5257596
615A,-2.2721152,0.2452866
811A,-3.0378058,0.18731207
162A,0.76668555,3.8837807
612A,-1.9459519,0.49282917
FMT.0186B,-2.1706076,2.341828
FMT.0147A,-4.645774,0.64159745
1000A,-3.0818114,-0.6069075
289A,-3.6774702,-0.74640197
1193A,-1.8592855,0.3418343
886A,-1.9908915,0.5183738
FMT.0241A,-1.6848407,-1.8694274
206A,-3.2209237,-0.60201174
884A,-3.3414888,0.2661541
264A,-2.7115633,-1.0434859
1046A,-3.4272103,0.28012148
873A,-2.9650042,-1.8503134
FMT.0207B,-3.1479006,-1.3991411
FMT.0064B,-3.1206596,0.516056
198A,-2.0930693,-0.008878667
FMT.0089B,-3.5987382,-0.68136364
271A,-2.920137,1.2797424
1694A,-3.000663,-0.76621145
178A,-2.3601148,0.89200354
